Country,Alpha-2,Alpha-3,Continent,Anthem,cluster
Italy,IT,ITA,Europe,brothers of italy italy has woken bound scipios helmet upon her head where is victory let her bow down because slave of rome god created her let us join in a cohort we are ready to die we are ready to die italy has called let us join in a cohort we are ready to die we are ready to die italy has called yes,4
Latvia,LV,LVA,Europe,god bless latvia our beloved fatherland bless latvia oh bless it yet again where latvian daughters bloom where latvian sons sing let us dance for joy there in our latvia,1
Liechtenstein,LI,LIE,Europe,high on the german rhine lies liechtenstein resting on alpine heights this beloved homeland within the german fatherland was chosen for us by gods wise hand,0
Lithuania,LT,LTU,Europe,lithuania our dear homeland land of worthy heroes may your sons draw strength from your past experiences may your children always choose the paths of virtue may they work towards your good and that of all people may the sun of lithuania disperse darkness and light and truth may guide our steps may love of lithuania burn in our hearts in the name of lithuania unity may blossom,2
Luxembourg,LU,LUX,Europe,where the alzette flows through the meadows the sauer breaks its way through the rocks where the vines amply grow along the moselle the sky makes wine for us that is our country for which we give down here we would risk everything our homeland so deeply we carry in our hearts in its crown of dark wood always guarded by peace without pomp and costly shine cozy it cutely smiles its people can claim happiness there are no hollow dreams if you live in such a home how good it is to be at home sing sing through mountain and valley the earth that bore us that love loyally echoes borne in each breast for our homeland no melody is too beautiful every word that is uttered shakes the soul like a thunderclap and our eyes shine like fire o thou above whose hand is leading the nations of the world protect this land of luxembourg from foreign yoke and pain you have given us already in our youth the sense of liberty let the sunlight of freedom shine that we have seen for such a long time,2
Malta,MT,MLT,Europe,guard lord forever as youve done erst and ceasing never this land whose name we received our motherlynamed mother her you have draped with a light whose grace exceeds all other on those who govern sovereign god bestow understanding grant wellness to those who work largesse to those employing make firm make just all our bonds the peace we are enjoying,1
Moldova (the Republic of),MD,MDA,Europe,a treasure is our language that surges from deep shadows of the past chain of precious stones that scattered all over our ancient land a burning flame is our language amidst a people waking from a deathly sleep no warning like the brave man of the stories our language is the greenest leaf of the everlasting codrii gentle river dniesters ripples hiding starlight bright and shining our language is more than holy words of homilies of old wept and sung perpetually in the homesteads of our folks a treasure will spring up swiftly from deep shadows of the past chain of precious stones that scattered all over our ancient land,3
Montenegro,ME,MNE,Europe,oh bright dawn of may our mother montenegro we are sons of your rocks and keepers of your honesty we love you the rocky hills and your awesome gorges that never came to know the chains of shameful slavery our mother montenegro oh bright dawn of may our mother montenegro while our unity gives wings to our loven cause proud shall be celebrated will be our dear homeland a river of our waves jumping into two seas will bear voice to the ocean may eternal be our montenegro will bear voice to the ocean may eternal be our montenegro,1
Netherlands (the),NL,NLD,Europe,a new christian song made in the honour of the most noble lord lord william prince of orange count of nassau father of the nation my merciful prince and lord a song of which the first capital letter of each stanza form the name of his merciful prince to the melody of chartres,3
Norway,NO,NOR,Europe,yes we love with fond devotion this our land that looms rugged stormscarred oer the ocean with her thousand homes love her in our love recalling those who gave us birth and old tales which night in falling brings as dreams to earth norseman whatsoeer thy station thank thy god whose power willed and wrought the lands salvation in her darkest hour all our mothers sought with weeping and our sires in fight god has fashioned in his keeping till we gained our right yes we love with fond devotion this our land that looms rugged stormscarred oer the ocean with her thousand homes and as warrior sires have made her wealth and fame increase at the call we too will aid her armed to guard her peace,3
Poland,PL,POL,Europe,poland has not yet died so long as we still live what the foreign power has seized from us we shall recapture with a sabre march march dabrowski to poland from the italian land under your command we shall rejoin the nation well cross the vistula well cross the warta we shall be polish bonaparte has given us the example of how we should prevail like czarniecki to pozna returned across the sea to save his homeland after the swedish partition the german nor the muscovite will settle when with a backsword in hand concord will be everybodys watchword and so will be our fatherland a father in tears says to his basia listen our boys are said to be beating the tarabans all exclaim in unison enough of this captivity weve got the scythes of racawice kociuszko if god wills,3
Portugal,PT,PRT,Europe,heroes of the sea noble people valiant and immortal nation raise once again today the splendor of portugal among the haze of memory oh fatherland one feels the voice of your distinguished forefathers that shall lead you on to victory to arms to arms over land over sea to arms to arms for the fatherland fight against the cannons march on march on hoist the undefeated flag in the lively light of your sky may europe cry out to the whole earth portugal has not perished kiss your merry ground the ocean roaring with love and your victorious arm gave new worlds to the world salute the sun that rises over a gleeful future let the echo of an offense be the sign for a comeback rays of this strong dawn are like a mothers kisses that keep us sustain us against the injuries of fate,0
Republic of North Macedonia,MK,MKD,Europe,today over macedonia is born the new sun of liberty the macedonians fight for their own rights do not cry dear mother macedonia raise your head proudly high old young men and women have risen to their feet now once again the flag flutters that of the kruevo republic gotse delchev pitu guli dame gruev sandanski the macedonian woods resoundly sing new songs and news macedonia liberated lives in liberty,0
Romania,RO,ROU,Europe,awaken thee romanian wake up from deadly slumber the scourge of inauspicious barbarian tyrannies and now or never to a bright horizon clamber that shall to shame put all your enemies its now or never that we prove to the world that in these veins still flows roman blood and in our hearts for ever we glorify a name triumphant in battles the name of trajan behold imperial shadows michael stephen corvinus at the romanian nation your mighty progeny with arms like steel and hearts of fire impetuous live in liberty or die thats what they all decree priests raise the cross as this army is christian give it liberty and its sanctified scope wed rather die in battle with honorary glory than live again enslaved on our ancestral land,1
Russian Federation (the),RU,RUS,Europe,russia  our holy nation russia  our beloved country a mighty will great glory  these are yours for all time be glorious our free fatherland ageold union of fraternal peoples popular wisdom given by our forebears be glorious our country we are proud of you from the southern seas to the polar lands spread our forests and fields you are unique in the world one of a kind  native land protected by god wide spaces for dreams and for living are opened for us by the coming years our loyalty to our fatherland gives us strength thus it was thus it is and always will be,3
Serbia,RS,SRB,Europe,od of justice thou who saved us when in deepest bondage cast hear thy serbian childrens voices be our help as in the past with thy mighty hand sustain us still our rugged pathway trace god our hope protect and cherish serbian lands and serbian race bind in closest links our kindred teach the love that will not fail may the loathed fiend of discord never in our ranks prevail let the golden fruits of union our young tree of freedom grace god our master guide and prosper serbian lands and serbian race lord avert from us thy vengeance thunder of thy dreaded ire bless each serbian town and hamlet mountain meadow heart and spire when our host goes forth to battle death or victory to embrace god of armies be our leader strengthen then the serbian race on our sepulchre of ages breaks the resurrection morn from the slough of direst slavery serbia anew is born through five hundred years of durance we have knelt before thy face all our kin o god deliver thus entreats the serbian race,4
Slovakia,SK,SVK,Europe,there is lightning over the tatras thunders loudly sound let us stop them brothers after all they will disappear the slovaks will revive that slovakia of ours had been sleeping by now but the thunders lightnings are rousing the land to wake it up,4
Slovenia,SI,SVN,Europe,gods blessing on all nations who long and work for that bright day when oer earths habitations no war no strife shall hold its sway who long to see that all men free no more shall foes but neighbours be,3
Spain,ES,ESP,Europe,flag of spain glory glory crown of the fatherland sovereign light which in your standard is gold life life future of the fatherland in your eyes it is an open heart purple and gold immortal flag in your colors together flesh and soul are purple and gold to want and to achieve you are flag the sign of human effort glory glory crown of the fatherland sovereign light which in your standard is gold purple and gold immortal flag in your colors together flesh and soul are spain guiding ask of us spain your name we will take anywhere you want because honoring it is our law command us spain and united we will fight so that you may live relentless people and king you give us a glorious flag nobody who is alive spain will take it from us so that one day we can be covered by it give us spain the joy of dying for you long live spain long live spain the cry of the fatherland the triumphant explosion has opened the way to the sun long live spain repeated twenty peoples and when they speak they have faith in the spanish will mark plow hammer and bugle your noble rhythm at the cry of the fatherland faith guide the mind and the hand until the end the long live spain spain attends all standing,1
Sweden,SE,SWE,Europe,you ancient you free you mountainous north you quiet you joyfully beauty i greet you loveliest land upon earth your sun your sky your green climes you throne on memories of great olden days when honoured your name flew across the earth i know that you are and will become what you were yes i want to live i want to die in the north i always will serve you my beloved land your fidelity to death i will swear your right i shall defend with mind and with hand your banner high with feats it carries with god i shall fight for home and for hearth for sweden the beloved homeland exchange you i wont for anything in this world no i want live i want to die in the north,2
Switzerland,CH,CHE,Europe,when the morning skies grow red and over us their radiance shed thou o lord appeareth in their light when the alps glow bright with splendor pray to god to him surrender for you feel and understand that he dwelleth in this land in the sunset thou art night and beyond the starry sky thou o loving father ever near when to heaven we are departing joy and bliss thoult be imparting for we feel and understand that thou dwellest in this land when dark clouds enshroud the hills and gray mist the valley fills yet thou art not hidden from thy sons pierce the gloom in which we cower with thy sunshines cleansing power then well feel and understand that god dwelleth in this land,4
Ukraine,UA,UKR,Europe,ukraines glory ukraines freedom did not disappear fate will smile on us ukrainians our skies will be clear our enemies will vanish like a sundried foam we will be the only masters in our dear home we will give our souls and bodies for our freedom and will show that we are brothers in the cossack breed born,2
United Kingdom of Great Britain and Northern Ireland (the),GB,GBR,Europe,god save the queen god save our gracious queen long live our noble queen god save the queen send her victorious happy and glorious long to reign over us god save the queen oh lord our god arise scatter our enemies and make them fall confound their politics frustrate their knavish tricks on thee our hopes we fix oh save us all thy choicest gifts in store on her be pleased to pour long may she reign may she defend our laws and ever give us cause to sing with heart and voice god save the queen not in this land alone but be gods mercies known from shore to shore lord make the nations see that men should brothers be and form one family the wide world over from every latent foe from the assassins blow god save the queen oer her thine arm extend for britains sake defend our mother princess and friend god save the queen lord grant that marshall wade may by thy mighty aid victory bring may he sedition hush and like a torrent rush rebellious scots to crush god save the queen,1
Argentina,AR,ARG,South_America,mortals hear the sacred cry freedom freedom freedom hear the noise of broken chains see noble equality enthroned rises to the heights of the earth a new and glorious nation its head crowned with laurels and at her feet lying a lion may the laurels be eternal the ones we managed to win let us live crowned with glory or swear to die gloriously from the new champions their faces mars himself seems to encourage greatness nestles in their bodies at their march they make everything tremble the dead inca are shaken and in their bones the ardour revives which renews their children of the motherland the ancient splendour mountain ranges and walls are felt to resound with horrible din the whole country is disturbed by cries of revenge of war and rage in the fiery tyrants the envy spit the pestipherous bile their bloody standard they rise provoking the most cruel combat dont you see them over mexico and quito throwing themselves with tenacious viciousness and who they cry bathed in blood potos cochabamba and la paz dont you see them over sad caracas spreading mourning and weeping and death dont you see them devouring as wild animals all people who surrender to them to you it dares argentines the pride of the vile invader your fields it steps on retelling so many glories as winner but the brave ones that united swore their merry freedom to sustain to those bloodthirsty tigers bold breasts they will know to oppose the valiant argentine to arms runs burning with determination and bravery the war bugler as thunder in the fields of the south resounds buenos ayres opposes leading the people of the illustrious union and with robust arms they tear the arrogant iberian lion san jos san lorenzo suipacha both piedras salta and tucumn la colonia and the same walls of the tyrant in the banda oriental they are eternal signboards they say here the argentine arm found triumph here the fierce oppressor of the motherland his proud neck bent victory to the argentine warrior covered with its brilliant wings and embarrassed at this view the tyrant with infamy took to flight its flags its arms surrender as trophies to freedom and above wings of glory the people rise the worthy throne of their great majesty from one pole to the other resounds the fame of the sonorous bugler and of america the name showing they repeat mortals hear the united provinces of the south have now displayed their most honorable throne and the free people of the world reply we salute the great people of argentina,1
Bolivia,BO,BOL,South_America,bolivians favourable destiny crowned our votes and desires it is now free this land is now free and now its servile condition has ended from the military uproar that was yesterday and from the cry of the terrible war today follow in peaceful contrast sweet hymns of peace and union today follow in peaceful contrast sweet hymns of peace and union   of the homeland the lofty name in glorious splendour may we keep it and in its honour lets swear once again to die before living as slaves to die before living as slaves to die before living as slaves   eternal praise to the brave warriors whose heroic courage and determination won the glories that today bolivia happily begins to enjoy may their names in marble and bronze be transmitted to future ages and in resounding song repeat freedom freedom freedom and in resounding song repeat freedom freedom freedom   of the homeland the lofty name in glorious splendour may we keep it and in its honour lets swear once again to die before living as slaves to die before living as slaves to die before living as slaves here justice set up its throne that does not recognise vile oppression and in its glorious stamp let us rejoice freedom freedom freedom this innocent and beautiful land that has its name because of bolvar  it is the happy homeland where man enjoys good fortune and peace it is the happy homeland where man enjoys good fortune and peace   of the homeland the lofty name in glorious splendour may we keep it and in its honour lets swear once again to die before living as slaves to die before living as slaves to die before living as slaves   if a foreign power one day tries to subjugate bolivia let it be prepared for the fatal destiny that threatens the arrogant invader let the sons of the great bolvar have sworn a thousand times over to die before seeing the majestic banner of the homeland lowered to die before seeing the majestic banner of the homeland lowered   of the homeland the lofty name in glorious splendour may we keep it and in its honour lets swear once again to die before living as slaves to die before living as slaves to die before living as slaves,4
Brazil,BR,BRA,South_America,the placid shores of the ipiranga heard the resounding shout of a heroic folk and the sun of liberty in shining beams shone in the homelands sky at that instant if the pledge of this equality we managed to conquer with strong arm in thy bosom o freedom our chest defies death itself o beloved idolized homeland hail hail brazil an intense dream a vivid ray of love and hope descends to earth if in thy beautiful smiling and limpid sky the image of the southern cross blazes giant by thine own nature thou art beautiful strong a fearless colossus and thy future mirrors that greatness adored land amongst thousand others art thou brazil o beloved homeland of the sons of this ground thou art kind mother beloved homeland brazil eternally lying on splendid cradle to the sound of sea and under deep sky light thou flashest brazil crocket of america illuminated by the sun of new world than the more garish land thy smiling pretty prairies have more flowers our groves have more life our life in thy bosom more loves o beloved idolized homeland hail hail brazil of eternal love be a symbol the starred labarum which thou displayst and say the laurelgreen of this pennant peace in the future and glory in the past but if thou raisest the strong mace of justice see that a son of thine flees not from battle nor do those who love thee fear their own death adored land amongst thousand others art thou brazil o beloved homeland of the sons of this ground thou art kind mother beloved homeland brazil,4
Chile,CH,CHL,South_America,beloved homeland receive the vows that chile gave you on your altars that you be either the tomb of the free or a refuge from oppression the bloody fight has ceased and yesterdays invader is now our brother three centuries we washed the affront fighting in the field of honor that who yesterday was a slave is free and triumphant today freedom is the heritage of the brave victory lies shameful to his feet rise chile with a spotless forehead you conquered your name on the fight always noble constant and courageous the children of the cid found you may your free calmly crown the arts industry and peace and may they sing songs of your triumph to intimidate the daring despot your names brave soldiers who have been chiles mainstay they are engraved in our chests our children will know them as well may they be the death cry that comes out when we march to the fight and ringing in the mouth of the strong they always make the tyrant tremble if the foreign cannon intends to invade daring our people lets draw our arms and know victory or death with its blood the proud araucanian inherited its courage to us and the sword doesnt tremble in the hand of that who defends the honor of chile how pure chile is your blue sky and how pure the breezes that blow across you and your countryside embroidered with flowers is a wonderful copy of eden how majestic are the snowcovered mountains that were given to you by god as protection and the sea that tranquilly bathes your shores promises future splendor for you hat pride oh homeland those flowers growing on your fertile soil may they never be stepped on by invaders may your shadow cover them with peace our chests will be your bastion in your name we will know how to win or your noble glorious emblem will see us fall in the fight,1
Colombia,CO,COL,South_America,oh unwithering glory oh immortal jubilance in furrows of pain goodness now germinates the dreadful night has ceased sublime liberty beams forth the dawn of her invincible light all of humanity that groans within its chains understands the words of he who died on the cross independence shouts the american world the land of columbus is bathed in heroes blood but this great doctrine the king is not the sovereign resounds and those who suffer bless their passion the orinocos bed is heaped with plunder of blood and tears a river is seen to flow neither souls nor eyes know whether admiration to feel or fear to suffer on the shores of the caribbean a famished people fight preferring horror to fickle health o aye from cartagena heavy is the hardship and deaths rubble her virtue disdains from in the fields the genius of glory from every sprig a hero was crowned undefeated soldiers without armor won the victory their virile spirit served them as a shield bolvar crosses the andes bathed by two oceans swords as though sparks flash in  indomitable centaurs descend to the plains and a premonition begins to be felt of the epics end the victorious trumpet in ayacucho loudly thunders as in every triumph grows its formidable sound in its expansive thrust liberty is first felt from the american sky forming a pavilion in agony the virgin tears out her hair and bereft of her love leaves it to hang on a cypress regretting her hope covered by a cold headstone but glorious pride hallows her fair skin thus the motherland is formed thermopylaes bursting forth a constellation of cyclops the night did brighten the trembling flower finding the wind mortal underneath the laurels safety sought but its not complete glory to defeat in battle the arm that fights is encouraged by truth for independence alone the great clamour doesnt silence if the sun shines on everyone justice is liberty of men the rights preaching the soul of struggle was prophetically taught ricaurte in san mateo in atoms flying duty before life with flames he wrote,1
Ecuador,EC,ECU,South_America,we greet you oh fatherland a thousand times oh fatherland glory be to you glory be to you your breast your breast overflows your breast overflows with joy and peace and your radiant face your radiant face is brighter than the shining sun we see your children were outraged by the yoke that iberian audacity imposed on you by the unjust and horrendous disgrace fatally weighing upon you they cried out a holy voice to the heavens that noble voice of a unbreakable pledge to defeat that monster of blood that this servile yoke would disappear the first ones the sons of the soil which pichincha adorns proudly they declared you as their sovereign lady forever and shed their blood for you god observed and accepted the holocaust and that blood was the prolific seed of other heroes whom the world in astonishment saw rise up around you by the thousands rise up by the thousands rise up by the thousands of those heroes of iron arm no land was invincible and from the valley to the highest sierra you could hear the roar of the fray after the fray victory would fly freedom after the triumph would come and the lion was heard broken with a roar of helplessness and despair at last spanish ferocity yielded and now oh fatherland your free existence is the noble and magnificent heritage which the felicitous heroism gave us it was given to us from our fathers hands let no one take it from us now nor any daring fool wish to excite our vengeful anger against himself may no one oh fatherland try it the shadows of your glorious heroes watch us and the valor and pride that they inspire are omens of victories for you come lead and the striking iron that the idea of war and revenge wakes the heroic strength that made the fierce spanish succumb and if new chains are prepared by the barbaric injustice of fate great pichincha may you prevent the death of the country and their children in the end sink to the deep point in your gut all that exists on your soil let the tyrant tread only ashes and in vain look for any trace of being beside you,1
Guyana,GY,GUY,South_America,dear land of guyana of rivers and plains made rich by the sunshine and lush by the rains set gemlike and fair between mountains and seas your children salute you dear land of the free green land of guyana our heroes of yore both bondsmen and free laid their bones on your shore this soil so they hallowed and from them are we all sons of one mother guyana the free great land of guyana diverse though our strains were born of their sacrifice heirs of their pains and ours is the glory their eyes did not see one land of six peoples united and free dear land of guyana to you will we give our homage our service each day that we live god guard you great mother and make us to be more worthy our heritage land of the free,2
